측정일자,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20231031,도심권,중구,38,27,0.0258,0.0319,0.54,0.0032
20231031,도심권,종로구,48,32,0.0287,0.0313,0.61,0.0039
20231031,도심권,용산구,46,28,0.0274,0.0328,0.57,0.0042
20231031,서북권,은평구,51,28,0.0288,0.0238,0.63,0.0028
20231031,서북권,서대문구,48,34,0.032,0.0287,0.67,0.0022
20231031,서북권,마포구,41,26,0.0318,0.0317,0.57,0.0031
20231031,동북권,광진구,54,33,0.0243,0.036,0.71,0.0026
20231031,동북권,성동구,47,29,0.0267,0.027,0.46,0.003
20231031,동북권,중랑구,48,31,0.0207,0.0296,0.52,0.0026
20231031,동북권,동대문구,53,33,0.0233,0.0342,0.49,0.0038
20231031,동북권,성북구,60,36,0.0241,0.0262,0.57,0.0022
20231031,동북권,도봉구,45,32,0.0324,0.022,0.66,0.0027
20231031,동북권,강북구,40,25,0.0316,0.0195,0.49,0.0025
20231031,동북권,노원구,42,26,0.027,0.0261,0.53,0.0031
20231031,서남권,강서구,44,24,0.0296,0.0291,0.56,0.0036
20231031,서남권,구로구,53,33,0.0271,0.0212,0.38,0.0024
20231031,서남권,영등포구,41,29,0.0311,0.0326,0.56,0.0032
20231031,서남권,동작구,40,26,0.0457,0.0231,0.43,0.0031
20231031,서남권,관악구,42,23,0.0398,0.0236,0.51,0.0033
20231031,서남권,금천구,49,32,0.0301,0.0301,0.53,0.0034
20231031,서남권,양천구,47,29,0.0312,0.0304,0.53,0.0034
20231031,동남권,강남구,57,35,0.0294,0.032,0.52,0.0037
20231031,동남권,서초구,64,42,0.0255,0.0283,0.46,0.0028
20231031,동남권,송파구,51,29,0.0302,0.032,0.54,0.0031
20231031,동남권,강동구,64,44,0.0255,0.0306,0.73,0.0028
20231030,도심권,중구,34,24,0.0274,0.0343,0.53,0.0035
20231030,도심권,종로구,39,26,0.0257,0.0352,0.62,0.0039
20231030,도심권,용산구,41,24,0.025,0.0358,0.58,0.0041
20231030,서북권,은평구,40,21,0.0273,0.0262,0.56,0.0031
20231030,서북권,서대문구,40,26,0.0313,0.0277,0.67,0.0029
20231030,서북권,마포구,40,24,0.0286,0.0356,0.57,0.0033
20231030,동북권,광진구,39,22,0.0269,0.0324,0.7,0.0026
20231030,동북권,성동구,39,23,0.0235,0.0303,0.45,0.003
20231030,동북권,중랑구,40,23,0.0274,0.0275,0.48,0.0027
20231030,동북권,동대문구,43,25,0.0268,0.0353,0.56,0.0038
20231030,동북권,성북구,46,27,0.0224,0.0285,0.54,0.0025
20231030,동북권,도봉구,40,25,0.0296,0.026,0.63,0.0029
20231030,동북권,강북구,37,23,0.0323,0.0218,0.52,0.0026
20231030,동북권,노원구,40,26,0.0223,0.0329,0.59,0.0032
20231030,서남권,강서구,42,21,0.026,0.0347,0.61,0.0039
20231030,서남권,구로구,48,28,0.0205,0.0286,0.45,0.0026
20231030,서남권,영등포구,38,26,0.0248,0.0385,0.58,0.0033
20231030,서남권,동작구,41,25,0.0336,0.0332,0.5,0.0033
20231030,서남권,관악구,47,25,0.0249,0.0392,0.64,0.0036
20231030,서남권,금천구,40,26,0.0228,0.0347,0.55,0.0032
20231030,서남권,양천구,42,24,0.0272,0.0373,0.57,0.0035
20231030,동남권,강남구,44,26,0.0226,0.0359,0.49,0.0036
20231030,동남권,서초구,56,30,0.0179,0.0357,0.52,0.003
20231030,동남권,송파구,45,26,0.0195,0.0421,0.58,0.0032
20231030,동남권,강동구,47,26,0.0207,0.0336,0.7,0.0029
20231029,도심권,중구,25,16,0.0289,0.0217,0.45,0.003
20231029,도심권,종로구,28,19,0.0285,0.022,0.5,0.0033
20231029,도심권,용산구,32,19,0.0252,0.0237,0.53,0.0035
20231029,서북권,은평구,26,14,0.0259,0.0186,0.49,0.0026
20231029,서북권,서대문구,25,14,0.0376,0.0127,0.45,0.0022
20231029,서북권,마포구,30,17,0.0307,0.0228,0.48,0.0026
20231029,동북권,광진구,26,14,0.0278,0.0218,0.59,0.0022
20231029,동북권,성동구,27,16,0.0265,0.0174,0.37,0.0025
20231029,동북권,중랑구,26,16,0.0278,0.016,0.39,0.0022
20231029,동북권,동대문구,32,19,0.0255,0.0251,0.51,0.0033
20231029,동북권,성북구,29,18,0.0207,0.0205,0.51,0.0021
20231029,동북권,도봉구,26,16,0.0281,0.019,0.54,0.0025
20231029,동북권,강북구,27,17,0.0291,0.0149,0.49,0.0022
20231029,동북권,노원구,29,20,0.0215,0.0223,0.53,0.0028
20231029,서남권,강서구,31,15,0.0288,0.0211,0.51,0.0031
20231029,서남권,구로구,27,15,0.0245,0.0155,0.34,0.0021
20231029,서남권,영등포구,28,18,0.0296,0.0229,0.49,0.0028
20231029,서남권,동작구,29,19,0.033,0.0214,0.43,0.0026
20231029,서남권,관악구,36,18,0.0267,0.0247,0.53,0.0028
20231029,서남권,금천구,29,17,0.027,0.0257,0.5,0.0026
20231029,서남권,양천구,30,17,0.0305,0.0227,0.48,0.0029
20231029,동남권,강남구,29,16,0.029,0.0191,0.39,0.003
20231029,동남권,서초구,29,16,0.0237,0.0202,0.41,0.0026
20231029,동남권,송파구,31,20,0.0234,0.0265,0.49,0.0026
20231029,동남권,강동구,28,14,0.0211,0.0219,0.61,0.0024
20231028,도심권,중구,29,19,0.0166,0.0321,0.55,0.0032
20231028,도심권,종로구,34,21,0.0185,0.0298,0.61,0.0036
20231028,도심권,용산구,38,19,0.0168,0.0323,0.63,0.0038
20231028,서북권,은평구,33,17,0.021,0.0214,0.53,0.0027
20231028,서북권,서대문구,31,18,0.0246,0.0217,0.58,0.0027
20231028,서북권,마포구,36,19,0.0186,0.0311,0.58,0.0033
20231028,동북권,광진구,30,16,0.0148,0.0324,0.68,0.0023
20231028,동북권,성동구,32,17,0.0153,0.026,0.45,0.0027
20231028,동북권,중랑구,38,17,0.017,0.0254,0.5,0.0025
20231028,동북권,동대문구,36,19,0.0178,0.0309,0.57,0.0038
20231028,동북권,성북구,35,20,0.016,0.0234,0.53,0.0021
20231028,동북권,도봉구,30,18,0.0238,0.0217,0.58,0.0026
20231028,동북권,강북구,33,19,0.0232,0.0188,0.54,0.0023
20231028,동북권,노원구,36,21,0.0154,0.0275,0.57,0.0029
20231028,서남권,강서구,38,15,0.0208,0.0265,0.53,0.0038
20231028,서남권,구로구,36,19,0.0167,0.0229,0.41,0.0025
20231028,서남권,영등포구,34,20,0.019,0.0329,0.57,0.0032
20231028,서남권,동작구,35,20,0.0287,0.0255,0.46,0.0029
20231028,서남권,관악구,44,22,0.0195,0.0327,0.61,0.0032
20231028,서남권,금천구,37,19,0.0225,0.0309,0.54,0.0031
20231028,서남권,양천구,38,18,0.0212,0.0317,0.58,0.0033
20231028,동남권,강남구,34,18,0.016,0.0302,0.5,0.0035
20231028,동남권,서초구,42,19,0.0134,0.0312,0.5,0.0029
20231028,동남권,송파구,34,19,0.0153,0.0334,0.54,0.0028
20231028,동남권,강동구,30,15,0.015,0.0266,0.62,0.0025
20231027,도심권,중구,22,16,0.0318,0.0167,0.48,0.0029
20231027,도심권,종로구,26,17,0.0356,0.0132,0.46,0.0032
20231027,도심권,용산구,31,17,0.0309,0.0168,0.47,0.0032
20231027,서북권,은평구,29,16,0.0253,0.0142,0.52,0.0024
20231027,서북권,서대문구,28,16,0.0307,0.0162,0.5,0.002
20231027,서북권,마포구,33,18,0.0292,0.0187,0.44,0.0028
20231027,동북권,광진구,21,11,0.0304,0.0197,0.55,0.0021
20231027,동북권,성동구,27,16,0.0291,0.0157,0.35,0.0029
20231027,동북권,중랑구,22,13,0.0277,0.0156,0.38,0.002
20231027,동북권,동대문구,29,16,0.0352,0.0139,0.44,0.003
20231027,동북권,성북구,27,15,0.0292,0.012,0.42,0.0017
20231027,동북권,도봉구,22,14,0.0338,0.0145,0.56,0.0024
20231027,동북권,강북구,25,14,0.0367,0.0084,0.4,0.0021
20231027,동북권,노원구,24,15,0.025,0.0187,0.45,0.0024
20231027,서남권,강서구,35,13,0.0298,0.0156,0.43,0.003
20231027,서남권,구로구,30,11,0.0266,0.0117,0.31,0.0023
20231027,서남권,영등포구,32,18,0.0303,0.018,0.44,0.0028
20231027,서남권,동작구,30,16,0.0377,0.0164,0.37,0.0026
20231027,서남권,관악구,39,18,0.0319,0.0173,0.45,0.0029
20231027,서남권,금천구,36,18,0.03,0.0206,0.46,0.0029
20231027,서남권,양천구,32,16,0.0318,0.0171,0.44,0.0029
20231027,동남권,강남구,26,15,0.0319,0.0182,0.39,0.003
20231027,동남권,서초구,34,15,0.0259,0.017,0.37,0.0027
20231027,동남권,송파구,27,14,0.0316,0.0204,0.42,0.0022
20231027,동남권,강동구,20,11,0.026,0.0195,0.47,0.0022
20231026,도심권,중구,43,34,0.0357,0.0297,0.62,0.0034
20231026,도심권,종로구,46,33,0.0374,0.0281,0.58,0.004
20231026,도심권,용산구,45,29,0.0356,0.0295,0.53,0.0036
